category,name,baseType,itemType,variant,detailsId,levelRequired,links,corrupted,mapTier,gemLevel,gemQuality,chaosEquivalent,Tier,Override,SetFontSize,PlayAlertSound,SetBackgroundColor,PlayEffect,MinimapIcon
arts,Burial Medallion,,,,burial-medallion,,,,,,,7.0,,,,,,,
arts,Exotic Coinage,,,,exotic-coinage,,,,,,,6.0,,,,,,,
arts,Astragali,,,,astragali,,,,,,,1.5,,,,,,,
arts,Scrap Metal,,,,scrap-metal,,,,,,,0.64,,,,,,,
arts,Grand Sun Artifact,,,,grand-sun-artifact,,,,,,,0.19,,,,,,,
arts,Grand Broken Circle Artifact,,,,grand-broken-circle-artifact,,,,,,,0.18,,,,,,,
arts,Grand Black Scythe Artifact,,,,grand-black-scythe-artifact,,,,,,,0.17,,,,,,,
arts,Grand Order Artifact,,,,grand-order-artifact,,,,,,,0.15,,,,,,,
arts,Greater Sun Artifact,,,,greater-sun-artifact,,,,,,,0.03,,,,,,,
arts,Lesser Black Scythe Artifact,,,,lesser-black-scythe-artifact,,,,,,,0.03,,,,,,,
arts,Lesser Sun Artifact,,,,lesser-sun-artifact,,,,,,,0.03,,,,,,,
arts,Greater Order Artifact,,,,greater-order-artifact,,,,,,,0.02,,,,,,,
arts,Common Sun Artifact,,,,common-sun-artifact,,,,,,,0.02,,,,,,,
arts,Common Order Artifact,,,,common-order-artifact,,,,,,,0.01,,,,,,,
arts,Lesser Order Artifact,,,,lesser-order-artifact,,,,,,,0.01,,,,,,,
arts,Lesser Broken Circle Artifact,,,,lesser-broken-circle-artifact,,,,,,,0.01,,,,,,,
arts,Common Broken Circle Artifact,,,,common-broken-circle-artifact,,,,,,,0.01,,,,,,,
arts,Greater Black Scythe Artifact,,,,greater-black-scythe-artifact,,,,,,,0.01,,,,,,,
arts,Common Black Scythe Artifact,,,,common-black-scythe-artifact,,,,,,,0.01,,,,,,,
base,Plate Vest,Plate Vest,Body Armour,'Hunter,plate-vest-83-hunter,83,,,,,,119889.99,,,,,,,
base,Royal Bow,Royal Bow,Bow,'Warlord,royal-bow-86-warlord,86,,,,,,20262.34,,,,,,,
